text,label
When my first boyfriend left me. I tried not to let him understand I felt miserable.,sadness
They looked furious when they saw our faces peering in and made frantic signs for us to close the curtains again . ,anger
The death of my guardian with whom I had stayed when I did my grade six.,sadness
"` It 's stuck ! "" she cried in dismay . ",fear
"Typically , Gould 's infrequent letters home detailed only his ornithological exploits , much to the dismay of the household , who were desperate to hear news of a more personal nature . ",fear
 Don ’ t tell me what to do ! I ’ ll get to it when I get around to it ! ,anger
Doing anatomy alone for the first time.,fear
 I never went to court . ,anger
 That makes sense . I think I'll do that . Thanks for all the help . ,joy
 is not a strategy  is not a factor is not an option,fear
The assistant looked alarmed . ,fear
Walking in the dark and thinking about ghost stories.,fear
" I'm very sorry for that , but I sent you several messages to explain , my mom was seriously ill , and I had to look afer her . ",sadness
"My little niece, who is very talkative, suddenly became very naughty and began wetting her pants.  She did it one afternoon.",anger
 Bye . ,neutral
"When a man who had a knife grabbed me and threatened me with it,   during my holidays in Monze. ",fear
 I'm sorry to hear it . What's wrong with her ? ,sadness
When I saw that my bed at the hostel was a mess I guessed that someone else had used my daily necessities.  I felt that my  personal sanity had been affected.,anger
 500 pieces . ,neutral
Flight BE407 to Rome is delayed . Will passengers please wait in the lounge . ,anger
"He stood there stoically , hiding his grief as Newlands announced he had received only twelve votes . ",sadness
" Just as usual , you know . ",joy
"Three weeks ago a friend of mine bid me good-bye before going abroad.  I felt happy for her as she was achieving something by making the trip, but I also felt sad as I would not be seeing her for a long time.",sadness
"A heartbroken Daniels watched this all going on , and was moved to break the golden rule of not speaking until spoken to . ",sadness
"She was still mad at Lucy for something , and Lucy was sure that a little time and concentration would tell her what  but for the moment , somehow , the knowledge was just out of reach . ",anger
 2 months . ,neutral
"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun..... & 59:19 (KJV) #glory #God",fear
"One day I had an appointment with my boyfriend which I had objected to in the begining, however he visited me and convinced me to come.  The day of the appointment; I had to wait for him for over an hour.",anger
I have been thinking of changing my major for a few months.  My original major was Chinese language and it blocks my way.  I have to face many problems at the sametime and I do not know what is real and virtuous.  I do not know if I am not interested in Chinese or if there are other factors which make me sad.  I am not very clear on what I can do for the study of Communication and Journalism.  I am not clear about what I can do.  What are the limitations ?   I hesitate but I feel more adjusted now.,sadness
"One evening, in the tramway, I was afraid of two drunk men molesting my girlfriend and me.",fear
My brother is a soldier. He promised to come home in a furlough but in the last moment he phoned and said that he could not come.,sadness
" Oh , that hurts . ",sadness
 Why ? ,neutral
There was a nervous laugh at this topical sally provided by the Zola trial . ,fear
" Well , he made quite a few mistakes on the monthly report and when his supervisor found them , my manager blamed them on me ! ",anger
"` No , "" she replied briefly , feeling more and more resentful . ",anger
"Anger I felt when my boyfriend told me he didn't mind breaking it off with me, i.e. each of us to take his own road. Because until that moment, he deliberately restricted our dates. The motives were brought to my knowledge later.",anger
The Repton boy 's horror at Churchill 's anti-Bolshevist campaign had turned into a more adult and less ferocious criticism . ,fear
"Hi , Bill . ",neutral
Had a letter from my father (usually he does not write to me).,joy
The feeling of joy when again I had confessed my sin and experienced God's forgiving grace and cleansing power - total enlightenment and freedome - bliss.,joy
I felt very happy when I heard I had passed the examination to move up to the second year course.,joy
" Oh , shut up about ties ! Forget about ties , why not ? ",anger
"But I don't want an indignant boyfriend on my doorstep breathing fire . "" ",anger
When I attended the concert of a pop singer.,joy
At noon one Sunday I received a phone call telling me that my mother had been knocked down by a car at the street crossing and that her husband should go and see her.  I could not believe this as my father and my mother had gone out together to buy lunch boxes.  However I immediately ran to the scene of the accident.,fear
"It 's possible to be sad about your babies becoming children , and yet accept the fact that you won't have any more . ",sadness
"When I was back home after a long time, meeting beloved people and close friends.",joy
 I just watched a movie and I'm scared . ,fear
"After the operation , you may feel sick or very depressed -- this is the effect of the trauma of the operation and of the anaesthetic . ",sadness
 It must be old . ,joy
" Sorry , Sally , it's not your fault . ",sadness
" Oh , so it was my fault , was it ? If I hadn't warned you in time it would have been much worse . ",anger
"My daughter was 2 yrs she went up to a colt tried to hit it. It turned on her and kicked her over the heart, sent her flying through the air. I left my mother and sister to deal to her as they are nurses. I felt I didn't want to know if she was going to die, it was just too much.",fear
"She didn't want to get sad now , not now after it had been so good . ",sadness
A girl I love does not love me.,sadness
 Yeah . It is incredible ! Is it the work of Qi Bakshi ? ,joy
When I understood that I was admitted to the University.,joy
I was afraid when my dog ran out through a crack in the fence when  a train was coming.,fear
 Terrible . ,neutral
They were delighted with the turnout of spectators and the general organisations by local authorities . ,joy
 I sometimes find the shadow of death in front of me . ,fear
 No . ,neutral
What a great weekend that was ! ,joy
"Unfair and unjust attitude toward a person close to me, what I was the witness of, caused anger in me.",anger
When I was punished in school for no serious mistake of mine.,anger
"Some of his actions , in particular the unexpected introduction of a constitutional amendment allowing for an elected Vice-President and the subsequent appointment of Moudud Ahmed to that post , caused some disquiet among party members . ",fear
When I was in a little fishing boat and we ran into hard weather in the open sea.,fear
Ahhhh!!! I'm worried about the dentist why did I put it off so long!! ,fear
I met again a very good friend whom I had not seen for a long time.,joy
My admittance to the University.,joy
General Ye Jianying died.,sadness
@YesIamQuESt would it offend you if when I listen to otFailure (the song) I'm thinking about girls?,fear
After an operation I had to stay in bed for a long time.,sadness
I was on this amusement park ride at Marriots Great America. It went way up in the air and then around and around. Heights are not my favorite spots in life.,fear
 Leave me alone ! ,anger
` After each Test there was never any great sense of elation but rather that a step towards the ultimate goal was taken . ,joy
I felt anger against a person who told bad things about me in my absence.,anger
 I liked it . I thought it was great . ,joy
 I am also impressed with the lines in the movie . ,joy
"When I was in Bombay one of my good friends was getting married and he had not informed me about it, this made me sad.",sadness
 I see . ,neutral
"Her face must have registered dismay at having to tell Peter what had happened , for he gave a narrow smile . ",fear
Death of brother.,sadness
"One day, when I was a child, my grandmother shut me up in a room.",anger
I went to visit a friend in hospital.  He was going to be operated the next day.  I was afraid that they would not let me in and I did not know what his reaction would be on seeing me.,fear
"When I checked my examination paper and realized that I had been careless, thoughtless, lazy and hasty so as to make unnecessary mistakes concerning things I know and understand.",anger
 Exactly . ,neutral
When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.,fear
" To tell you the truth , I'm really nervous . I had a dream last night that I was being interviewed by a three-headed monster that kept trying to bite my head off . Oh , wow , my palms are sweaty just thinking about it . I just hope Ms . Mendoza won't be able to hear my teeth chattering . I just hope I get through this in one piece . ",fear
When an English teacher unfairly made me repeat a semester which I thought I had passed.  I had to ask my parents for some more money to carry on studying.,anger
I think they call this... um... Venting ,fear
"She was acting like some idiotic schoolgirl , not an intelligent woman , she thought in exasperation . ",anger
In recent months a growing number of federal judges and lawyers have voiced their exasperation with America 's approach to drugs . ,anger
Could not get into the university I wanted to get in.,sadness
" A , whatever you do , the most important is perseverance . So you have to hang on there , the longer , the better . Then some day , you will find you've already made a lot of progress . ",neutral
I was overwhelmed with joy when I received the acceptance letter to university.  This happened again when I passed all my first year courses.,joy
"` I desire first to go to the palace of Westminster , my lord , there to greet the queen my mother and tender my condolences -- and to share the grief of my family . "" ",sadness
 Step into my office for a moment . What is your concern ? ,neutral
She had smiled and raised rather amused brows at the stories that tumbled in then of Fergus 's progress . ,joy
 Waiter ! ,anger
 What are you talking about ? Let me see that ... What are horoscopes ? ,neutral
Death of a pet rabbit. We had to give it away because my brother became allergic to it. We gave it to a man who kept animals and lots of other animals for children to watch. We went to visit our rabbit. It was badly beaten by the other rabbits and eventually died.,sadness
"After having at last finished my master's thesis, I felt great joy and relief.  I had been haunted by the thesis during the whole of my studies.",joy
"We hadn't gone very far when we met up with another Lancaster returning from a Cook 's Tour , and to my horror the two aircraft then flew wing-tip to wing-tip all the way home . ",fear
 It's fun . ,joy
I found myself involved in a fight in which a person died and I had to intervene with some risk.,fear
Walking out from the biology building.,fear
"When my brother went out with my new shirt that I adored, and returned it dirty with grease.",anger
 How ? ,neutral
 Come in ! Quickly ! ,fear
 Passed . ,neutral
We had to move to a very different city because the company where my father worked also moved to that place. It was very difficult for me to make new friends than.,anger
 What is a sixties party ? ,neutral
" Let me see ... Sorry , sir . We are fully booked tonight . Would you mind making a reservation some other time ? ",sadness
 Why ? ,neutral
 Some people are wildly shooting on the next street . We must leave here as soon as possible ! ,fear
 Yes . ,neutral
" Perhaps , but I haven ’ t felt well for a few days now . ",sadness
"Joseph , unable to follow the French , waited in anguish , not knowing what was being said . ",sadness
"When my son was diagnosed as having CEREBRAL PALSY, at age 5. He would have to endure so much labelling, stigma and discrimination, even though his case was relatively mild.",sadness
A close friend decided to stop with his study and to go back home.,sadness
"My grandmother died over the summer. I knew her very well, she baked great biscuits. She was in the hospital but expected to improve and go home soon. She died in her sleep.",sadness
"I don't suppose you 're overjoyed that I 've got a friend in the rival camp . "" ",joy
When I had a good result in the certificate examination.,joy
 Okay ... ,neutral
 Bye . ,neutral
"I feared that I was pregnant.  It was not planned and I would have been compelled to have an abortion, which I would not have liked at all.  Fortunately, after a week's anxiety, I got to know that I was not pregnant.",fear
 Frank has gone out with Lucy again . ,sadness
 We're happy together now . We both think that we're a well-matched couple . ,joy
When I get into the tube or the train without paying for the ticket.,fear
 It's my pleasure to talk with you . ,anger
Mrs Friar looked offended but continued . ,anger
When I was told that I had passed the exams.,joy
 cool ! It must be amazing to work at a bar ! ,joy
"After this she ceased to blame herself for the breakdown of their marriage , but instead expressed considerable anger towards her husband . ",anger
Who is it ? ,neutral
How's work ? ,neutral
" to be honest , I'm a bit fed up . ",anger
I was very happy when I passed the B.A with first class marks.,joy
 That girl was my cousin . ,sadness
 It's time I left . ,joy
 My drives were terrible today . I kept slicing the ball into the roughs and sand traps . ,sadness
"After I was thrown out of a car in an accident, this resulted in a fracture.",fear
" I want to have a picnic with my friends , Mum . ",neutral
"When I was cycling through the park late one night, two people jumped out of the woods and tried to stop me.  There were shouting something at the same time.",fear
The same as for SHAME and DISGUST. I was asked to resign my sorority which I did because I was ashamed.,sadness
Most estate agents were overjoyed at the election result . ,joy
When I received my U.E. accredited as I was totally unexpecting it and I was so happy.,joy
"A gang of screaming and drunk youths \captured\"" a tram.""",fear
 What for ? ,neutral
 A necklace ? ,neutral
When I got into a bus I found that my wallet had been stolen. It was not a great loss from the monetary point of view but I lost some documents - identity papers.  As a result I had to spend several days in order to get a new one.  I will always remember all the work I had to do and the bad treatment I suffered because of the bureaucratic behaviour of the civil servant.  I had already had bad luck and they treated me like a criminal.   At one point of time I really wanted to quarrel with them.,anger
"is the best movie of the 90s, forest gump doesnt get rated its so good and titanic is in a distantttttt second",fear
"I've something very unpleasant to talk with you . Upon the arrival of the first consignment , it was found that about 50 % of the sixty cases of pineapples were leaking . ",anger
" Yes , they do . But you can only access all the articles if you have a subscription . ",neutral
My classmate always borrowed my notes and would not return it to me on time.  When I had a test she was selfish and irresponsible and so delayed my studies.,anger
"Even so , becoming angry when travel arrangements go wrong can hardly help . ",anger
Mr Brown was livid at the way 1 billion in precious foreign reserves was poured down the drain during the sterling fiasco a fortnight ago . ,anger
"I felt very lonely, was very dissatisfied with myself when I realised that I could feel very jealous of other women because of my boyfriend.",sadness
" Miss , I'm very sorry for the delay , please enjoy this . Free a glass of wine for inconvenience . Again I'm terribly sorry to make you wait so long . ",sadness
I wrote an Exam and happened to have not done as well as I thought I would. I was angry to myself for not having done so well.,anger
"Expressing his delight at being appointed , he said : ` This is the one job I had hoped for . "" ",joy
" Honey , a typhoon is coming . ",neutral
 What for ? ,neutral
"I was going to my village, after having been rather oppressed in Madrid. ",joy
" Yes , sir . ",neutral
 Next June . ,neutral
Left alone in the biology building surrounded by empty buildings.,fear
Assaulted by drunken neighbour.,fear
" Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before . ",anger
Both her mother and Lisa had been cross with her ; they both had felt she ought to settle down . ,anger
end of life symptoms/not eating sleeping alot/is Ma's life ending?       ,fear
Chatterton did not sound unduly worried at that prospect . ,fear
I struggled with and #anxiety for years that prevented me from learning to drive. Finally got my license this year. #honesty,fear
 I'm tired of your cut-and-dried opinions . Who do you think you are ! ,anger
"I feel excited when I come up with something that I can have Jack to help me with , I 'm always ready to hear what he has . ",joy
"When one day nobody could rouse him from his trailer , it was Lee Marvin who entered quietly and found a sombre , lonely , sad man . ",sadness
I was raped once when I went through a dark alley at the back of our house. The man pushed me in the bushes. I fought back and succeeded to escape.,fear
When you are unjustly assessed at something you are sure to have been right.,anger
I was at home and we were sleeping when we heard some robbers breaking into our house.,fear
The passing away of my mum.,sadness
 That's a great idea . It's the best season for tourists in Florida . You can also get a good sun-tan there . ,joy
When I realized that it was impossible for me to be as free as I had imagined and that I could not do anything about it.,sadness
"I received an assignment back, and got an A+ grading.",joy
We nah  ah  nah ah #nobody &#xA;We nah #talk from #nobody &#xA;No bowy nah badda Dan weeeee &#xA;#suckyuhmummapussyhole,fear
What are we going to do ? I can't get the car out of this ditch . I'm stuck ! ,anger
"I was interviewing a gurl and she flipped the tables on me by questioning me in the freakiest way ever! The rapist got mind raped, ppl! ",fear
 Get out of it ! It wasn't as good as you think . ,anger
 I don ’ t know anything about the bills or laws they ’ re trying to pass . ,fear
I had been caught red-handed having stolen some paw-paw. I was then taken the elders owning the paw-paws.,sadness
 Why ? ,neutral
"I was almost caught in the girls hostel by the security men, I would have been expelled from school had I been caught.",fear
"One day my elder brother badly scolded my father.  This was the first time that I heard such abusive language from my brother.  I requested him humbly not to use this kind of language but he did not care for what I was saying.  Finally I picked up an axe to use against him, in the meanwhile people intervened.",anger
" Use the stairs , never the elevator . ",neutral
 Right . ,joy
Fearing the use of power or reprimands when I belong to the minority.,fear
Benjamin nodded and stared where an ostler was trying to calm an excited horse . ,joy
 My stress level is pretty much what is usually is . ,sadness
Death of my father.,sadness
"For example , mildly depressed and tired old people used to be given amphetamines . ",sadness
` Then why are you looking so glum ? ,sadness
"One night, while I was sleeping, I woke up suddenly with the sensation that there was someone in my room.",fear
"Whether or not the Palace actually arranged for the drawing to be removed , there can be little doubt that they were delighted to be rid of it . ",joy
They must be mad that they should expect such a delicate business as his preparation of Vologsky to be speeded up as though it was a crude operation on a factory bench . ,anger
"Smiling across the room at Laura 's tall , slender figure , she added , ` Besides , everyone in your office was so pleased at your promotion . ",joy
 We should plan to move out of here before July . I'm tired of living in apartments . ,sadness
"Her cheeks were already aglow from a combination of the heat and the exhilaration of being the centre of attention , and this had lent an extra , youthful radiance to her beauty . ",joy
"Les mecs à la sortie du metro 4 à gdn, et qui attendent que tu passes pour degainer leur toupie lumineuse  ",fear
Her grief at his death was deep and sincere . ,sadness
"Oh , my God ! I've been cheated ! ",anger
The EC was infuriated . ,anger
I really became sad when mother passed away while I was very young.,sadness
I feel so sad with Marie gone . ,sadness
 OK . ,neutral
"I and my cousin went to a film show at night. We went without making it known to my mother. While we were there at interval, I came across my mother just close to where we sat.",fear
" I'm sorry sir , this flight has been cancelled due to some mechanical problems . ",sadness
At primary school the teacher caught me cheating during a dictation.,fear
Saw a father beating up his small child.,sadness
Have you signed up to join the company ’ s Christmas party ? ,neutral
When I was accepted as a student of Psychology here at Guttenburg.,joy
The man I am going around with gave me a very special present.,joy
Not being able to do well to be chosen for the English lecture.,sadness
Julie is devastated to discover she is adopted and she sets out to find her natural parents . ,sadness
When my cat ran under a car and came home wounded. He could hardly walk. I didn't dare to go to a veterinarian because I was afraid he would kill him.,fear
I saw a man who had had a heart-attack and who was being treated for it.  I feared that my own father could have been there.,fear
"In the end , the poems must be read as expressions of sheer delight in friendship . ",joy
 Fine . Let's call a truce . I'll try to more considerate and to keep the noise down . ,anger
` I was so mad when your father tried to twist my arm . ,anger
It does at times reveal a certain despair over her present situation -- a fact that is rather concerning . ,sadness
 Why ? ,neutral
" Yes , that's what I plan to do . Except I won't make the chicken soup.Right now I don't think I could swallow more than a spoonful of it . ",sadness
One horrified look told him that Daisy had already sunk to her pasterns . ,fear
Connahs Quay were angry over Halkyn 's decision to call off their match at Pant Newydd an hour before the scheduled start . ,anger
When I am out in the dark and a suspicious looking character comes towards me.,fear
When I was selected to the university of Zambia.,joy
"I was captain of the school swimming team. The team was only two points in front before the last relay. We won the relay, which I swam in, and thus my team won the championship.",joy
Flora 's eyes were downcast too ; they usually were . ,sadness
I never failed my examinations since Standard 1 but I experienced sad moments when I sat for Standard 8 Examination and I was not selected for Secondary School education in 1978.,sadness
 Do ya ? ,neutral
"I'm very worried , doctor . I'm afraid that I'm very ill . ",sadness
 You know you didn't . ,anger
 I think I will . Thanks for the info . ,joy
Not applicable to myself.,fear
"I felt sadness when I notice that I'm not important for a determinate person. We do many things for a friend, and we see soon after, that he doesn't do anything for us, nor thinks of us.",sadness
 no problem . ,neutral
 It certainly didn't arrive here that way . ,anger
A friend called me and told me that she wanted to come and see me. She lived in a village at 50 km distance fom my home town. Next morning I expected her but she didn't arrive. As I got impatient I called her but her parents told me that she had gone skiing. I was very angry because I had cancelled an appointment to be able to see her.,anger
When I heard the examination results and when I recovered after having been sick for a week.,joy
 No problem . ,neutral
Before an exam.,fear
His comments are a major diplomatic gaffe as the CRC has supported the region in its disquiet over the CRE 's decision to begin an investigation . ,fear
 Umm . I think my water just broke ! Get me to a hospital ! ,fear
"Shaw , however , worked off most of his exasperation over the weekend winning the Durham and Cleveland County veterans ' over 50 title . ",anger
Once I had an argument with my friends and I knew that I was right.  My friends went on arguing with me even though they did not know the right thing.,anger
When a class-mate died.,sadness
It seems that you get antsy when you hear I praise another guy . ,neutral
 I'm not being pessimistic . I'm being realistic . My chemistry is so bad . ,sadness
"Lewis Verne-Smith sat shaking his head , less as a gesture of denial than of a generalized despair at the state of the world . ",sadness
I had planned to study for my mid-term exams on a certain day and  my room-mate called me to ask me to go out for a stroll.  I tried to make an excuse so as not to go out but she refused to listen to me and insisted that I go out with her.  I find it unnecessary  to talk to her anymore. ,anger
 Sure . Which button do I press to shoot ? ,joy
 No wonder he asked for my address first-he just wants to harass me ! ,anger
When my father banned me from going to his sister's home due to some misunderstanding between the two.,anger
"This is a peculiarly nasty technique of persuasion , causing great psychological anguish throughout the middle ages and even today . ",sadness
 Why not ? ,neutral
"You look so happy , Anna . Any good news ? ",joy
 I see . ,neutral
 I'll try . ,neutral
 I'm sorry man . I didn't know . I didn't mean to screw anything up . ,sadness
I have said we will be pleased to provide back-up with visitor 's packs etc and that I would inform you of the request . ,joy
 He ’ ll finish writing in a minute . ,neutral
 Good . I will have hot chocolate . ,neutral
Hello ? ,neutral
The Department of Health is aware of the disquiet among dentists . ,fear
Managed to run 30 Km on skis fairly simply.,joy
Father lost his temper at home because he was mistreated at work.,sadness
When a thief broke into my house at night.,fear
When I received a beautiful birthday gift form my parents.,joy
 Yes . ,neutral
 We don't . ,neutral
 How about a party at home ? That way we can get together and celebrate it . ,joy
Town 's fans are angry at losing the club 's leading scorer . ,anger
@inrepose Could you give me url for live stream? ,fear
I was riding with a friend in his car. At a speed of 120 km/h on the snow-covered motorway I would have liked to get out.,fear
The day I got a telegram telling me that I had been selected for a B.A at university.  I felt happy because I had not expected to be selected.,joy
When I gave birth to my son and saw that he was alive and that I had managed it well.  He was born a month too early with a malfunctioning lung.  This happened a year ago.,joy
"Being reunited with my family after not having seen them for 5 years, at the airport. Sheer elation at getting through the \paper work\"" collecting bags and the anticipation of coming through the customs gate.""",joy
 I think lifelong learning is the concept that it's never too soon or too late for learning ,neutral
` Those poor little girls must be frightened out of their minds ! ,fear
When I discovered that the people I trusted most were talking behind my back.,anger
 What is it ? ,neutral
"The fear about my future : work, making ends meet and health. Coping.",fear
 I don't think that you're done . ,anger
 Perfect . It really hits the spot . ,joy
A friend of mine promised to come with me to the cinema but he didn't come.,anger
" I know , Blake . But you ’ Ve been avoiding me all morning , and we have got to talk about this deal with the Mc Kinsey Food Company . ",anger
"A friend got angry and drove like a lunatic with me and others in his car. I was angry about his dangerous driving.""",anger
When I recently got a very positive answer from a clinic telling me that they would willingly assist and collect data for me for a clinical pilot study.,joy
"not afraid of tomorrow, for I have seen yesterday and I love today #less",fear
 Yes . ,neutral
 Are you sure you're finished ? ,anger
"When I was on a cave excursion with friends, I suddenly lost them and was afraid of losing my way in the cave.",fear
" As a matter of fact , I am a bit upset . I just came out of a meeting and it didn't go very well . ",sadness
" Oh no ! A bear ! Run , Tiger , run ! Somebody call animal control ! ",fear
"` I think everyone is very pleased they 've changed their minds , "" said England 's most-capped player , Rory Underwood . ",joy
"I had decided to propose to the man I liked to make a trip together.  One day, during breakfast I told him my idea.  I was afraid of his not accepting it and that the idea would end up as a failure.",fear
It was the weekend of my homecoming. I saw my sister for the first time in 3 months. She's my best friend and extremely close.,joy
"After going through much shame, I became a Christian and something new happened in my heart.  Joy that overflows was manifest in me.",joy
 I couldn't agree with you more . ,joy
 But she took her luggage away with her . ,fear
 No way . I will be scared out of my wits . ,fear
 Why ? ,neutral
"` They take young grandpas , "" said Linda , amazed and overjoyed he 'd had the idea for himself and still not able to get over her daughter 's news . ",joy
"During my holiday I met again a friend who had tried to commit suicide. She had just left hospital, her lips were trembling, she looked miserable.",sadness
" You know my father . If I fail , he'll kill me . I have to do well . ",sadness
When I took my entrance exams successfully and also when I got my school leaving certificate because the delivering ceremony was extremely official.,joy
It smells like an ashtray in here ! ,anger
"The sense of relief that the Danes had ` let us all painlessly off the Maastricht hook "" was immediately replaced by a despondency at the Government 's response . ",sadness
"A few years ago my mother suffered from canccer and died within two years.  We had not finished our studies then and could not bear our responsibilities as her children.  My mother had tried her best to take care of us but she lived in pain these two years.  Neither the doctor nor we could do anything for her as cancer is incurable.  I was very eager to replace her in suffernig , even die instead of her.",sadness
"Anger at doctors for their treatment of me after giving birth. They left part of placenta behind and I bled heavily for twelve weeks - due to this, I felt weak and emotional, and they said I needed psychiatric treatment and give me no support.",anger
"Zina , can I talk to you about something personal ? ",neutral
My employer took too many aspirins for a bad back and also drank an enormous amount of spirit.  This was dangerous  and he did not understand that he had done anything wrong.,anger
Freeze ! ,neutral
"At which point , according to my informant , everyone looked absolutely horrified and said : ` Oh no , Prime Minister ! ",fear
I was walking on a street alone in the afternoon when there were not too many people on the street.  A couple of guys were following me and I was ignoring them.  Suddenly one of them came in front of me and started using dirty language and harrassing me.  I got very angry and wanted to strike back at them.,anger
When my parents got divorced.,sadness
But it was the scene of my first heartbreak . ,sadness
"Since the war the CIA has been very alarmed at some of the left-wing British governments , many of whose politicians it regards as friends of Moscow . ",fear
Thinking about friends overseas.,sadness
"I am thinking about death, the eternal of it, the unknown, the sense of being here. Often, laying in bed in the dark and quiet, the fear makes me feel dizzy.",fear
"En 2007, Bayrou a dû attendre janvier pour avoir un sondage le mettant au-dessus des 10 %. Pour 2012, il y est déjà. ",fear
 Definitely . ,neutral
 I hope so . ,neutral
"I found that most parents were initially rather shocked at finding out their daughter was pregnant , some cried , some got angry , some were very matter-of-fact , and some were quite pleased . ",joy
It seems that anxious people condition most easily and it is thought that irrational fears are established in this way . ,fear
When I realized that I was far behind the others in the language course and I could no longer catch up with the others.,anger
The priest became agitated . ,fear
 Yes . I ’ Ve won the first prize in the math contest . ,joy
 I don't find this fair . ,anger
" Well , I like playing the violin . ",neutral
After each successfully passed exam I am happy.,joy
 It was a great idea to spend a day watching a game . ,joy
"When I am accused of something I have not done, I get unbelievably angry.",anger
I felt something close to that when I saw that there was a man on the terrace of the flat.,fear
"When I was cycling to school, I nearly got knocked down by a car which (overtook me too closely) did not give me any swerving space.",fear
` We are not happy that the group is meeting Sinn Fein and will demand an explanation from the Consulate . ,joy
"People think I've changed, just cause my appeal has grown. @Drake &gt;&gt;&gt;&gt;",fear
When my family and I heard of the death of my grandfather.  We had  seen him a few weeks earlier and it seemed that he had just been waiting to see us.,sadness
Damn if only she knew. :( I don't wanna fall for you cus if you won't pic me up. Trying hard not to. ,sadness
 Absolutely unbelievable ! You people should be ashamed of yourselves . ,anger
When some friends betrayed my friendship.,anger
Relatives visiting me.,joy
I took a math midterm and I knew I did really well and it was Friday so I felt great joy because the week was over and I did well on a test.,joy
"I wrote a difficult Exam at one time while in my Secodary School. When the results were announced on the radio, I came second out of 80 students hence I felt joy.",joy
 Really ? ,neutral
 Ah ... ,neutral
Mad at my dad.,anger
"When I knew that there were, at last, no problems in making a journey that I had been wanting to make for a long time.",joy
 Who is he marring ? ,neutral
 Hi ! I'm Nancy . Nice to meet you . ,joy
" Oh , yes . ",neutral
" oh , steve . Stop it ! I am a bit nervous ! What if he doesn't call ? ",neutral
"And then of course , silly girl , she went and told him -- he was so livid he wouldn't have nothing more to do with her . "" ",anger
"A and I were walking along the new Asia stairway to the Chung Chi college for our lecture and I saw him with her.  He put one arm around her shoulder and laugher brightly and joyfully.  I did not dare and did not want to look, just walked by them quickly.  The interest of talking to A disappeared and I just wanted to remain silent.  But I did not want A to know and so I left him and went to F.  I should have expected this to happen.",sadness
 That sucks . You wanna go grab a beer ? ,joy
An invitation to spend 5 days at the seaside with all expenses paid.,joy
 What if someone got it in their head to give them a tug ? What then ? ,neutral
 Curse this oven ! Curse it ! ,anger
I wish i could get the lyrics to by @Drake tattoo'd on my body. But that'd be one big ass tattoo,fear
When one of my cat died of a disease.,sadness
